,SM_MFEA_DaS_rand_percent_00,MFEA_SBX,MTEA_AD,SBS_GA,EBS_GA,LSA_SBX,MaTGA,S-MFEA_SBX,EME-BI
250,116.68414622583458,42637.15571113334,4368264261.668334,334.167399,613.257034,516.8142781,541.3420829999997,343.6736409333333,526.4548766333334
251,0.0,0.3588911999999999,31.272490999999977,0.0012330000000000004,0.0007400000000000001,0.0,0.007426999999999997,0.0,0.0
252,6245.44065118934,7675.014124799998,17327.166249,13268.985739000007,12475.311962999991,7117.334235766668,8707.509805000003,6139.983270333334,6805.578482133333
253,168.5924987633014,9960.572958866662,4515866211.234605,210.47815799999992,518.269246,321.9151894666667,302.1474239999999,278.04453466666666,456.90914109999994
254,0.0002465353190793292,0.35757263333333345,30.808613000000015,0.001086,0.0006400000000000003,0.0002465333333333333,0.006700000000000003,0.0002465333333333333,0.0
255,6369.147998507935,7507.674742200001,17122.84229599999,12654.069821,12935.071141000004,6787.499189133334,9002.386162000004,6493.3156665000015,6545.552139633333
256,93.91907994244056,51872.612254633335,4561353426.896389,337.5460930000001,495.2899209999997,503.62772886666676,601.017022,143.10557759999998,418.5909162666667
257,0.0,0.3640898333333333,31.28141800000001,0.0009119999999999997,0.0013,0.00032856666666666667,0.007830000000000002,0.0002465333333333333,0.0
258,6027.756878287282,7874.307019566667,17064.76131700001,12668.745600999993,12762.355638000006,7060.380410100001,8338.226025000004,6265.550080799998,6381.461525066668
259,375.32851661726784,12654.169067366667,4753337793.735291,465.4352519999998,364.7044889999999,1058.2906296333333,346.2673599999999,248.99349759999998,982.9634949
260,0.0002465352763872534,0.36687429999999993,31.350366000000005,0.0008739999999999999,0.001096,0.0,0.007155999999999997,0.0005742000000000001,0.0
261,6438.73819638397,7814.146993666668,17091.365163000006,12846.096732000004,12784.965326000003,7018.464196899998,8910.472077000006,6569.720625899999,6387.8042270666665
262,103.89749798046134,15335.015841999997,4383353109.388027,498.53262800000033,168.2201249999999,387.3610291333333,280.14615500000014,128.55511393333333,200.9378632
263,0.0,0.36010223333333324,30.939709999999994,0.00085,0.0006600000000000005,0.0,0.007683999999999997,0.0,0.0
264,6314.799473732236,7907.216779200001,17204.463995,11698.764076000001,12935.545304000008,6987.901653999998,8559.223807,6457.962718033334,6769.789596733333
265,109.25711986737669,25016.102670733333,4317477267.517078,476.41061400000024,386.261305,536.4747529,690.7546079999996,341.89639679999993,408.53410060000004
266,0.0,0.37463193333333333,31.354643000000006,0.0009189999999999998,0.0006019999999999998,0.0005750999999999999,0.006614000000000003,0.0004107,0.0
267,6038.587384492032,7683.993973933334,17259.840458999985,13220.875696000001,12425.369247999994,7219.929578133334,8973.804933000005,6466.906234933334,6135.741797933332
268,82.41167104599553,45714.0029884,4714539791.815304,66.68441000000003,284.65464400000013,176.80222999999998,122.77405799999998,119.6003089,207.49165553333336
269,0.0,0.36306733333333335,32.10622899999999,0.0011980000000000003,0.0007050000000000004,0.0,0.007230000000000005,0.0006572333333333333,0.0
270,6520.452181424767,7903.661304133332,17311.383751999998,12498.476733000001,12974.900800000001,7045.635848933333,8632.235638000006,6328.424125099999,6570.068282166669
271,361.9770719584234,6067.810512666665,4459481459.184981,602.8522599999998,787.0931769999999,199.08643179999996,605.0813589999999,192.99970326666664,392.82917646666664
272,0.0,0.35126243333333323,31.601577000000013,0.0010350000000000003,0.000666,0.0,0.006815999999999997,0.0002465333333333333,0.0
273,6377.666813719015,7659.9691105,17103.01296299999,12095.186464000008,12310.364006999998,7256.488403133332,8937.626270000006,6489.3828172,6315.641146333334
274,227.6742502248389,8794.956189966666,4407201915.654647,447.1056260000001,300.445662,321.24012306666674,340.6821990000001,100.38755193333336,753.5971425666667
275,0.0,0.38223196666666676,32.14962500000001,0.0007160000000000002,0.0007050000000000004,0.0002465333333333333,0.0071100000000000035,0.0,0.0
276,6183.224754062846,7527.825618999999,17154.405746,12310.551318000007,12680.596688000003,6639.1274646,8420.126017,6314.909777166666,5889.076834533332
277,204.92127477727388,35489.20200053333,4680040381.443025,280.72753899999975,417.25503299999997,569.8944349333332,430.6379780000001,75.35746893333335,469.25727730000006
278,0.0,0.35471936666666676,32.03405499999999,0.0009450000000000004,0.0006929999999999995,0.0,0.0070139999999999985,0.0004930666666666667,0.0
279,6532.954412954715,7662.0720723,17181.388516000003,12733.833272000002,12416.481703999996,6965.443467733332,9043.760515,6857.9030938000005,6353.340208799999
280,119.30647124339997,19932.521909000003,4711811560.221665,393.063689,895.5049319999999,491.5942836666666,787.0561009999996,294.6510793666665,404.3501502
281,0.0,0.3592738333333333,31.327632999999995,0.0007999999999999997,0.0008930000000000005,0.0004930666666666667,0.006723000000000004,0.0004930666666666667,0.0
282,6540.876473991303,7552.083560966667,17218.158927000008,12070.317117,12976.953698,7219.952657666667,8911.953095000003,6247.9409247,6480.104059666667
283,88.24673861122898,38092.28633106667,4716750143.008968,382.18327900000014,540.134903,566.1188638666666,220.09307100000015,196.5690304,623.2772535000001
284,0.0,0.37111076666666665,31.177520999999988,0.0011730000000000002,0.0007619999999999998,0.0,0.007562000000000005,0.0,0.0
285,6545.293006316857,7616.194494633332,17036.20332700001,12706.572156000006,12370.543225999998,6932.691812633332,8693.605153999997,6477.527451133333,6151.952404266666
286,79.1045981047744,32851.510884,4225513111.9464526,158.94711199999992,692.8329559999997,233.0601893666667,457.8288959999997,170.33253636666672,471.47686200000004
287,0.0,0.3715456333333334,31.30294700000001,0.000836,0.000658,0.00032856666666666667,0.007009999999999996,0.0004930666666666667,0.0
288,6285.752548820946,7613.736571333333,17241.83903600001,12787.819095,12261.585755000006,7026.658811166666,8989.723379000001,6729.797072699998,6374.432996366667
289,395.2058411856122,8347.777862566667,4690866056.861721,576.3241730000004,243.46482699999984,431.73351789999987,760.8002420000001,294.04199083333333,504.9481740333332
290,0.0,0.3541325999999999,31.410640999999973,0.001224,0.0006080000000000006,0.0002465333333333333,0.006730000000000004,0.0,0.0
291,6376.410669286842,7690.867618533333,17291.206820000007,12752.528371999992,13027.537552000003,6806.263247633333,8862.115192,6610.1500401,6068.952075166667
292,743.1268473194993,8258.830466266665,4570576478.784148,503.5197759999997,547.1835379999998,535.1585847333333,627.006087,415.9828077666667,486.04558840000004
293,0.0,0.3691943333333333,31.62807199999998,0.0008909999999999996,0.0007530000000000001,0.0002465333333333333,0.006861000000000004,0.0,0.0
294,5910.8349848502685,7646.156413166666,17222.605933999996,12734.333784,12229.763982000002,7121.186859666667,8794.826911999997,6778.632865533333,6340.3312860333335
295,826.9840582691496,16697.791955800003,4724756483.918468,948.8472670000002,1220.3196390000005,703.5228073333334,620.037326,444.7912522666667,642.3506070666668
296,0.0,0.3515168,31.134915999999983,0.0008629999999999995,0.0007069999999999996,0.0005753666666666666,0.007509999999999997,0.0,0.0
297,6638.717079757308,7705.537205600001,17229.29264599999,12793.620570000008,12309.059073999995,7010.8949791333325,9154.279341999998,6372.9913678,6895.804298866668
298,224.93085029542127,42745.31254753333,4642896116.935501,540.4091009999997,514.4056569999998,448.82976853333344,401.0204969999997,168.00050453333333,646.4714743000001
299,0.0,0.3536927666666667,31.24843099999999,0.0010299999999999999,0.000637,0.0,0.00666,0.0005750999999999999,0.0
300,0.0,4.515544700000001,21.364555,0.002265999999999999,0.0036150000000000023,0.0,0.033223,0.0,0.0
301,122.52486696533704,558.8808126666667,30920.35097200001,352.62353500000006,339.0836299999999,162.1694106,96.33776600000006,79.38654846666665,122.50235436666664
302,13.73304498491046,41.1194994,42.897847999999996,1.8307670000000011,3.257856,9.537886033333335,2.6838699999999993,12.722090033333332,3.191154366666666
303,0.0,4.417812233333333,21.376586999999983,0.0027070000000000006,0.0036889999999999987,0.0,0.02253799999999999,0.0,0.0
304,98.64758924991479,570.3779051666667,30518.139258999985,344.552162,369.7779570000002,138.90213136666668,93.47341199999998,107.43060256666668,117.56593056666667
305,12.142064949335111,40.091878099999995,42.680370999999994,1.925215000000001,3.721171999999999,7.155931466666667,2.4893429999999994,13.2722107,2.9079921
306,0.0,4.375474566666666,21.377253999999997,0.002096,0.002862000000000002,0.0,0.023136999999999998,0.0,0.0
307,98.98954953969572,539.5481674666668,30622.02407399999,354.7340449999999,372.2662560000001,185.56414486666665,97.709291,87.41018483333332,108.49097386666664
308,11.252567947797997,40.26369246666666,42.80751299999998,1.9937540000000007,2.852611999999999,8.220713866666665,3.0930529999999985,10.668010533333332,2.857973
309,0.0,4.567458799999999,21.37889700000001,0.0020229999999999988,0.004038,0.0,0.02920999999999999,0.0,0.0
310,103.01334437455793,545.1679898999998,31411.890433999975,363.81050900000014,349.2747069999999,161.1405607,100.58611500000005,119.78125986666667,134.03244816666668
311,11.41017751577428,43.89591423333333,42.965045,1.7526590000000009,3.3983230000000018,9.169811933333333,3.1496240000000015,10.779347633333334,3.197667833333333
312,0.0,4.594950666666666,21.356908999999984,0.002154999999999999,0.00426,0.0,0.021378000000000005,0.0,0.0
313,133.1744230544609,569.5906326,30546.24658300002,337.40935800000005,354.5951939999997,147.22138296666665,98.13574800000002,118.21495479999999,111.38478049999998
314,12.58736083099036,39.990062533333344,42.85579700000001,1.7968309999999994,3.074862,10.1997441,2.9110720000000003,12.632929100000002,4.235123766666667
315,0.0,4.502336633333333,21.362832000000015,0.0022220000000000013,0.0035130000000000014,0.0,0.02549500000000001,0.0,0.0
316,86.12831386213635,566.5007463999999,31038.25498600001,359.06649699999986,383.51462499999985,195.94317453333332,97.21512100000002,106.04825989999998,113.20811396666663
317,12.076648890755079,42.75229493333333,42.55042899999999,1.6972680000000007,3.028711999999999,9.2890673,2.794265,11.890361566666664,2.802572033333334
318,0.0,4.6826585666666665,21.366598999999994,0.0021590000000000003,0.003931000000000001,0.0,0.023365,0.0,0.0
